127.0.0.1 - - [26/Jun/2023:09:25:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:50:33 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp?result=success HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:50:36 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:50:47 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:01 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:03 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:18 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:23 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1_result.jsp?id=1234&passwd=11 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:47 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1_result.jsp?id=1234&passwd=11 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:49 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:03:51 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:07:44 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:07:47 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:08:13 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:13:55 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:13:57 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:35 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:37 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:40 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:19:59 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:20:01 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:20:03 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:20:47 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:20:51 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:21:57 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:21:59 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:22:16 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:22:18 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:28:48 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:31:06 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 500 2696
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:31:07 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:31:07 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:31:07 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:31:09 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:31:11 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:35:38 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 3536
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:46:05 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:46:08 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:46:12 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:23 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:24 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:24 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:47:24 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:09 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:18 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:18 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:18 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:20 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:24 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:49:55 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:51:32 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:51:34 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:52:17 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:52:25 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:02 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:02 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:25 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:28 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:46 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:46 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:48 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:51 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:53 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:53 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:53 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:53 +0900] "GET /StudyJavascript/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:55 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:56 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1%60 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:53:58 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:54:08 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:54:10 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:01 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:03 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:05 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin12 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:25 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:27 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:28 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:35 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:36 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:55:37 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:01:43 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:02:43 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:02:45 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:06:10 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4632
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:06:11 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:07:07 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:07:13 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:07:38 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test1.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:07:43 +0900] "POST /StudyJavascript/javascript5_0626_ajax/test1_result_ajax.jsp HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:08:34 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:08:34 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:08:34 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2.jsp HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:08:35 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:08:39 +0900] "GET /StudyJavascript/javascript5_0626_ajax/test2_check_id_result.jsp?id=admin1 HTTP/1.1" 200 9
